Health_Region_ID,Health_Region_name,cases_apr19,cases_may13,population_density,percent_65+,percent_less_than_lico,percent_fair_or_poor_health,percent_overweight,percent_obese,percent_diabetes,percent_asthma,percent_copd,percent_hypertension,percent_smoker,percent_active,mean_pm25,mean_min_temp,mean_max_temp,mean_greenness,days_since_1st_case_apr19,days_since_1st_case_may13,days_since_order_apr19,days_since_order_may13,days_since_peak_apr19,days_since_peak_may13,percent_decrease_travel_work,tests_per_100k_population
1011,Eastern Regional Health Authority,239,243,0.0000147,17.9,6.3,12.2,36,37.9,7.8,6.2,5.7,21.1,20.2,51.4,3.69,-9.68,18,0.69,36,60,32,56,25,49,-43.4,1947.2
1012,Central Regional Health Authority,8,8,0.00000196,23.8,4.8,13.4,41.8,37.9,12.2,8.8,4.4,29.8,16.6,44.2,3.15,-12.9,18.81,0.69,39,63,32,56,10,34,-43.4,1947.2
1013,Western Regional Health Authority,4,4,0.00000226,23,5.8,16.9,35.3,42.2,10.2,8.6,9.1,26.4,26.5,46.1,2.8,-12.63,18.26,0.7,25,49,32,56,6,30,-43.4,1947.2
1014,Labrador-Grenfell Regional Health Authority,6,6,0.000000122,14,2.5,10.1,34.1,46.6,9.6,7.3,3.9,18.5,25.4,52.2,3.17,-27.73,16.34,0.56,36,60,32,56,33,57,-43.4,1947.2
1100,Prince Edward Island,26,27,0.0000238,19.4,6.3,12.7,36.5,33.9,8.8,8.6,6.5,19.8,17,51,3.76,-15.81,20.54,0.7,36,60,34,58,20,44,-44.6,2740.3
1201,Zone 1 - Western,142,59,0.00000973,24.2,6.2,17.3,36.3,36.3,10.3,8.3,8,23.5,20.1,49.6,4.5,-11.91,18.62,0.76,35,59,28,52,1,23,-48.2,3645
1202,Zone 2 - Northern,107,53,0.0000113,21.7,6.4,15.6,36.3,35.7,9.8,9,5.3,24.7,19.4,50.3,4.01,-14.43,19.74,0.74,9,33,28,52,1,41,-48.2,3645
1203,Zone 3 - Eastern,116,62,0.00000942,23.6,6.9,16.1,38.2,39.5,11.2,6.7,8,26,17.4,50.7,4.75,-12.4,19.61,0.75,9,33,28,52,1,33,-48.2,3645
1204,Zone 4 - Central,310,850,0.0000548,15.9,9.5,13.2,34.2,31,6.3,9.6,5.2,18.3,16.6,58.8,4.51,-12.37,18.92,0.71,35,59,28,52,1,20,-48.2,3645
1301,Zone 1 (Moncton area) ,22,23,0.00002,19.3,7.1,13.8,37.1,34.8,10.8,8.6,6.6,22.9,12.5,48,4.24,-16.11,20.06,0.76,38,62,31,55,23,47,-45.5,2417.7
